,account length,international plan,voice mail plan,number vmail messages,total intl minutes,total intl calls,total intl charge,customer service calls,churn,avg_minutes,avg_calls,avg_call_duration,avg_charge,%_srv_intency,%_intl_srv_intensity
43,160,no,no,0,9.2,4,2.48,3,False,143.2,93.0,1.54,12.22,3.23,75.0
44,64,no,no,0,3.5,3,0.95,1,False,215.03,90.33,2.38,19.1,1.11,33.33
45,59,no,yes,28,8.5,5,2.3,2,False,165.67,101.67,1.63,15.33,1.97,40.0
46,65,no,no,0,13.2,5,3.56,3,False,169.53,120.0,1.41,18.6,2.5,60.0
47,142,no,no,0,7.4,5,2.0,2,False,187.93,111.33,1.69,18.04,1.8,40.0
48,119,no,no,0,8.8,3,2.38,5,True,177.87,107.33,1.66,17.72,4.66,166.67
49,97,no,yes,24,11.0,3,2.97,1,False,140.33,90.67,1.55,14.76,1.1,33.33
50,52,no,no,0,7.8,5,2.11,3,False,232.83,97.0,2.4,22.07,3.09,60.0
51,60,no,no,0,6.8,3,1.84,1,False,226.9,100.33,2.26,22.22,1.0,33.33
52,10,no,no,0,11.4,6,3.08,2,False,219.7,78.33,2.8,20.18,2.55,33.33
53,96,no,no,0,9.3,5,2.51,2,False,218.73,84.0,2.6,20.08,2.38,40.0
54,87,no,no,0,9.7,3,2.62,5,True,191.53,108.67,1.76,17.84,4.6,166.67
55,81,no,no,0,10.2,3,2.75,1,False,231.67,83.33,2.78,21.06,1.2,33.33
56,141,no,no,0,8.0,2,2.16,1,False,149.23,96.0,1.55,14.4,1.04,50.0
57,121,no,yes,30,5.8,3,1.57,3,True,151.63,94.33,1.61,16.09,3.18,100.0
58,68,no,no,0,12.1,3,3.27,3,False,175.03,112.33,1.56,17.36,2.67,100.0
59,125,no,no,0,12.0,8,3.24,1,False,198.67,108.0,1.84,20.86,0.93,12.5
60,174,no,no,0,11.4,4,3.08,1,False,176.2,81.67,2.16,18.2,1.22,25.0
61,116,no,yes,34,11.6,3,3.13,2,False,204.37,110.33,1.85,22.76,1.81,66.67
62,74,no,yes,33,14.6,3,3.94,2,False,192.6,93.0,2.07,20.02,2.15,66.67
63,149,no,yes,28,12.6,3,3.4,3,False,211.33,69.67,3.03,19.54,4.31,100.0
64,38,no,no,0,8.2,6,2.21,2,False,151.03,100.33,1.51,14.43,1.99,33.33
65,40,no,yes,41,6.2,5,1.67,2,False,177.23,88.0,2.01,16.41,2.27,40.0
66,43,yes,no,0,9.3,4,2.51,0,False,207.37,92.0,2.25,22.65,0.0,0.0
67,113,yes,no,0,8.3,8,2.24,0,False,153.63,117.0,1.31,14.88,0.0,0.0
68,126,no,no,0,7.8,1,2.11,1,False,194.0,70.0,2.77,20.44,1.43,100.0
69,150,no,no,0,13.8,3,3.73,4,True,165.53,103.67,1.6,17.16,3.86,133.33
70,138,no,no,0,11.8,7,3.19,3,False,235.87,93.33,2.53,22.96,3.21,42.86
71,162,no,yes,46,12.1,2,3.27,0,False,222.57,80.67,2.76,21.9,0.0,0.0
72,147,no,no,0,8.0,4,2.16,3,False,190.0,92.33,2.06,20.89,3.25,75.0
73,90,no,no,0,7.3,4,1.97,1,False,194.17,122.67,1.58,20.24,0.82,25.0
74,85,no,no,0,12.0,3,3.24,0,False,193.73,100.67,1.92,20.64,0.0,0.0
75,50,no,no,0,6.1,2,1.65,1,False,187.27,91.0,2.06,17.95,1.1,50.0
76,82,no,no,0,11.7,4,3.16,0,True,250.47,94.0,2.66,26.2,0.0,0.0
77,144,no,no,0,8.2,7,2.21,4,True,103.9,100.33,1.04,8.27,3.99,57.14
78,46,no,no,0,8.2,3,2.21,2,False,185.33,96.33,1.92,19.45,2.08,66.67
79,70,no,no,0,15.0,2,4.05,1,False,184.67,92.0,2.01,17.47,1.09,50.0
80,144,no,no,0,13.2,2,3.56,1,False,242.87,97.33,2.5,23.36,1.03,50.0
81,116,yes,no,0,12.6,5,3.4,3,False,232.9,97.33,2.39,22.19,3.08,60.0
82,55,no,yes,25,11.0,2,2.97,3,False,159.13,102.67,1.55,15.88,2.92,150.0
83,70,no,yes,24,9.8,4,2.65,1,False,243.97,89.0,2.74,24.84,1.12,25.0
84,106,no,no,0,12.4,1,3.35,2,True,217.07,89.67,2.42,21.86,2.23,200.0
85,128,no,yes,29,8.6,7,2.32,0,False,242.73,89.33,2.72,21.41,0.0,0.0
86,94,no,no,0,8.0,5,2.16,4,True,167.5,96.67,1.73,16.18,4.14,80.0
87,111,no,no,0,12.0,2,3.24,1,False,201.73,97.33,2.07,20.79,1.03,50.0
88,74,no,yes,35,10.9,9,2.94,2,False,159.87,81.67,1.96,15.26,2.45,22.22
89,128,no,no,0,13.9,4,3.75,1,True,231.47,95.33,2.43,23.63,1.05,25.0
90,82,no,no,0,11.1,2,3.0,1,False,149.47,86.67,1.72,15.32,1.15,50.0
91,155,no,no,0,8.9,4,2.4,0,True,196.77,107.67,1.83,19.88,0.0,0.0
92,80,no,no,0,7.9,9,2.13,1,False,183.5,89.67,2.05,15.74,1.12,11.11
93,78,no,no,0,9.5,7,2.57,3,False,231.73,103.33,2.24,23.34,2.9,42.86
94,90,no,no,0,10.6,7,2.86,3,False,165.8,81.0,2.05,17.47,3.7,42.86
95,104,no,no,0,9.8,5,2.65,1,False,174.2,118.67,1.47,20.52,0.84,20.0
96,73,no,no,0,13.0,4,3.51,0,False,182.5,84.67,2.16,17.73,0.0,0.0
97,99,no,no,0,8.7,3,2.35,4,False,198.8,92.0,2.16,19.97,4.35,133.33
98,120,no,no,0,5.3,5,1.43,1,True,196.23,110.33,1.78,20.46,0.91,20.0
99,77,no,no,0,9.8,7,2.65,2,True,244.23,102.33,2.39,24.22,1.95,28.57
100,98,no,yes,21,4.4,8,1.19,4,False,191.2,96.33,1.98,18.68,4.15,50.0
101,108,no,no,0,14.6,5,3.94,0,False,165.47,105.0,1.58,17.4,0.0,0.0
102,135,no,no,0,10.5,6,2.84,0,False,150.23,95.67,1.57,14.67,0.0,0.0
103,95,no,no,0,12.5,9,3.38,1,False,187.97,102.33,1.84,16.53,0.98,11.11
104,122,no,no,0,11.3,2,3.05,1,False,197.6,92.67,2.13,18.31,1.08,50.0
105,95,no,no,0,11.8,4,3.19,4,False,205.1,92.67,2.21,21.65,4.32,100.0
106,36,no,yes,29,9.0,6,2.43,2,False,223.6,97.0,2.31,24.48,2.06,33.33
107,93,no,yes,21,9.8,3,2.65,1,False,166.47,110.67,1.5,14.59,0.9,33.33
108,141,no,yes,32,10.1,1,2.73,1,False,166.37,110.0,1.51,15.42,0.91,100.0
109,157,no,no,0,9.6,7,2.59,3,False,206.37,106.33,1.94,20.83,2.82,42.86
110,120,no,no,0,8.3,8,2.24,1,False,200.47,89.67,2.24,20.12,1.12,12.5
111,103,no,no,0,12.6,2,3.4,2,False,210.37,100.67,2.09,20.15,1.99,100.0
112,98,no,no,0,12.1,4,3.27,4,False,193.2,114.33,1.69,17.95,3.5,100.0
113,125,no,no,0,13.3,7,3.59,1,False,193.5,104.0,1.86,16.73,0.96,14.29
114,63,no,no,0,9.4,3,2.54,1,False,146.63,90.67,1.62,11.31,1.1,33.33
115,36,yes,yes,42,20.0,6,5.4,0,True,196.67,112.33,1.75,20.45,0.0,0.0
116,64,no,no,0,14.2,3,3.83,1,False,124.13,104.67,1.19,14.39,0.96,33.33
117,74,no,no,0,9.4,4,2.54,1,True,224.13,92.33,2.43,24.79,1.08,25.0
118,112,no,yes,36,10.0,3,2.7,2,False,149.6,105.67,1.42,13.57,1.89,66.67
119,97,no,no,0,8.7,5,2.35,2,False,199.3,105.67,1.89,21.83,1.89,40.0
120,46,no,no,0,13.1,7,3.54,1,False,212.53,95.0,2.24,21.35,1.05,14.29
121,41,no,yes,22,7.2,3,1.94,0,False,165.93,103.67,1.6,18.27,0.0,0.0
122,121,no,no,0,9.8,4,2.65,3,False,198.33,107.67,1.84,19.32,2.79,75.0
123,193,no,no,0,11.6,3,3.13,1,False,138.7,102.67,1.35,15.13,0.97,33.33
124,130,no,no,0,9.2,5,2.48,2,False,163.93,111.33,1.47,15.27,1.8,40.0
125,85,no,no,0,12.0,3,3.24,1,False,227.77,87.33,2.61,21.7,1.15,33.33
126,162,no,no,0,9.1,3,2.46,4,True,127.67,92.33,1.38,10.79,4.33,133.33
127,61,no,yes,27,6.4,6,1.73,4,True,186.6,118.67,1.57,18.17,3.37,66.67
128,92,no,no,0,9.2,4,2.48,2,False,153.47,99.67,1.54,13.31,2.01,50.0
129,131,no,yes,36,9.5,4,2.57,3,False,213.53,111.33,1.92,20.69,2.69,75.0
130,90,no,no,0,10.9,2,2.94,3,False,170.03,109.67,1.55,16.62,2.74,150.0
131,75,no,no,0,6.1,5,1.65,1,False,193.73,97.0,2.0,17.76,1.03,20.0
132,78,no,no,0,9.5,3,2.57,1,False,240.93,125.0,1.93,23.54,0.8,33.33
133,82,no,no,0,7.1,1,1.92,4,False,202.53,86.0,2.36,20.14,4.65,400.0
134,163,no,no,0,9.1,10,2.46,1,False,202.0,105.67,1.91,20.0,0.95,10.0
135,91,yes,no,0,11.2,3,3.02,3,False,183.47,108.33,1.69,15.98,2.77,100.0
136,75,no,yes,21,5.3,4,1.43,5,False,210.27,112.33,1.87,19.69,4.45,125.0
137,91,no,no,0,12.0,3,3.24,3,False,202.93,116.0,1.75,20.4,2.59,100.0
138,127,no,yes,36,11.2,8,3.02,1,False,191.1,88.0,2.17,17.92,1.14,12.5
139,113,no,yes,23,10.2,5,2.75,2,False,171.87,73.33,2.34,18.3,2.73,40.0
140,110,no,no,0,12.4,3,3.35,1,False,206.17,103.67,1.99,19.15,0.96,33.33
141,120,no,yes,39,10.5,4,2.84,0,False,224.83,93.67,2.4,21.4,0.0,0.0
142,157,no,yes,28,6.8,5,1.84,3,False,165.93,106.67,1.56,18.1,2.81,60.0
143,103,no,no,0,11.7,4,3.16,1,False,214.17,75.67,2.83,22.52,1.32,25.0
144,117,yes,no,0,14.1,7,3.81,2,True,198.0,101.67,1.95,18.24,1.97,28.57
145,140,no,no,0,14.3,6,3.86,3,False,167.47,97.67,1.71,19.33,3.07,50.0
146,127,no,no,0,13.7,3,3.7,1,False,184.53,93.0,1.98,17.13,1.08,33.33
147,83,yes,no,0,11.7,4,3.16,1,False,202.97,106.0,1.91,23.33,0.94,25.0
148,121,no,no,0,8.5,5,2.3,1,False,187.17,107.33,1.74,18.9,0.93,20.0
149,145,no,yes,43,11.1,4,3.0,2,False,235.57,92.67,2.54,23.5,2.16,50.0
150,113,no,no,0,10.6,6,2.86,1,False,195.83,97.0,2.02,19.84,1.03,16.67
151,117,no,no,0,10.1,7,2.73,1,False,202.83,105.0,1.93,16.17,0.95,14.29
152,65,no,no,0,7.5,6,2.03,1,False,190.93,106.33,1.8,18.52,0.94,16.67
153,56,no,no,0,6.9,11,1.86,1,False,205.0,124.0,1.65,21.95,0.81,9.09
154,96,no,no,0,11.5,4,3.11,5,False,225.3,82.67,2.73,22.94,6.05,125.0
155,151,no,no,0,9.8,4,2.65,0,False,245.57,118.33,2.08,22.39,0.0,0.0
156,83,no,no,0,15.8,7,4.27,0,True,239.57,116.67,2.05,27.87,0.0,0.0
157,139,no,yes,23,13.7,2,3.7,0,False,221.27,112.33,1.97,19.82,0.0,0.0
158,6,no,no,0,10.2,2,2.75,1,False,206.3,89.33,2.31,20.36,1.12,50.0
159,115,no,yes,24,9.6,4,2.59,1,False,163.43,122.33,1.34,15.72,0.82,25.0
160,87,no,no,0,7.1,5,1.92,0,False,148.67,102.0,1.46,14.67,0.0,0.0
161,141,no,no,0,12.0,6,3.24,0,False,237.37,108.0,2.2,22.95,0.0,0.0
162,141,no,yes,36,10.5,5,2.84,3,False,219.47,106.67,2.06,20.91,2.81,60.0
163,62,no,no,0,12.2,1,3.29,1,False,156.97,102.33,1.53,12.99,0.98,100.0
164,146,no,no,0,6.1,3,1.65,1,False,174.03,110.33,1.58,18.41,0.91,33.33
165,92,no,yes,33,12.1,2,3.27,2,False,228.53,96.0,2.38,23.26,2.08,100.0
166,185,no,yes,31,7.5,3,2.03,1,False,205.97,128.33,1.61,19.36,0.78,33.33
167,148,no,no,0,10.9,3,2.94,1,False,235.5,106.67,2.21,22.26,0.94,33.33
168,94,no,yes,38,12.8,4,3.46,1,False,156.43,104.33,1.5,16.71,0.96,25.0
169,32,no,no,0,6.3,2,1.7,0,False,190.77,76.67,2.49,20.7,0.0,0.0
170,68,no,no,0,13.2,2,3.56,1,False,186.0,96.33,1.93,21.23,1.04,50.0
171,64,no,yes,27,10.6,5,2.86,2,False,172.17,91.67,1.88,17.6,2.18,40.0
172,25,no,no,0,10.5,4,2.84,3,False,199.9,91.33,2.19,16.79,3.28,75.0
173,65,no,no,0,14.1,2,3.81,1,False,159.37,110.0,1.45,14.43,0.91,50.0
174,179,no,no,0,6.1,5,1.65,0,False,204.43,107.0,1.91,20.32,0.0,0.0
175,94,no,no,0,11.1,7,3.0,2,False,197.5,111.67,1.77,21.67,1.79,28.57
176,62,no,no,0,12.2,3,3.29,0,False,177.57,104.33,1.7,16.66,0.0,0.0
177,127,no,no,0,11.5,3,3.11,2,False,208.9,100.67,2.08,20.88,1.99,66.67
178,116,no,no,0,16.2,10,4.37,3,False,191.87,93.67,2.05,18.45,3.2,30.0
179,70,no,no,0,0.0,0,0.0,3,False,241.87,115.33,2.1,24.45,2.6,inf
180,94,yes,yes,23,9.5,5,2.57,4,False,231.27,121.33,1.91,21.48,3.3,80.0
181,126,no,no,0,11.9,1,3.21,5,True,111.23,101.0,1.1,9.28,4.95,500.0
182,67,no,yes,36,9.9,12,2.67,2,False,174.4,102.67,1.7,15.83,1.95,16.67
183,19,no,no,0,14.6,7,3.94,2,False,218.13,94.0,2.32,20.96,2.13,28.57
184,170,yes,no,0,8.4,3,2.27,3,False,213.1,103.67,2.06,23.69,2.89,100.0
185,73,no,no,0,10.8,13,2.92,1,False,241.33,124.0,1.95,23.37,0.81,7.69
186,106,no,no,0,10.2,4,2.75,1,False,140.5,105.33,1.33,13.79,0.95,25.0
187,93,no,no,0,10.9,3,2.94,2,False,192.77,100.0,1.93,23.05,2.0,66.67
188,164,no,no,0,9.0,3,2.43,1,False,170.3,116.33,1.46,16.53,0.86,33.33
189,51,no,no,0,9.1,3,2.46,1,False,217.0,103.67,2.09,21.95,0.96,33.33
190,107,no,no,0,8.9,4,2.4,0,False,142.17,98.0,1.45,14.38,0.0,0.0
191,130,no,no,0,9.5,2,2.57,1,False,168.53,94.0,1.79,16.16,1.06,50.0
192,80,no,no,0,8.8,4,2.38,2,False,204.4,90.0,2.27,20.54,2.22,50.0
193,94,no,no,0,13.4,2,3.62,0,False,163.57,112.33,1.46,15.8,0.0,0.0
194,118,no,yes,23,9.5,4,2.57,1,False,191.73,83.67,2.29,22.91,1.2,25.0
195,117,no,yes,23,6.8,6,1.84,1,False,185.2,88.0,2.1,18.95,1.14,16.67
196,78,no,no,0,9.7,8,2.62,0,False,197.8,120.0,1.65,17.57,0.0,0.0
197,208,no,no,0,10.7,6,2.89,2,True,228.17,94.0,2.43,26.23,2.13,33.33
198,131,yes,yes,26,13.8,7,3.73,4,True,249.3,108.33,2.3,26.08,3.69,57.14
199,63,no,no,0,13.0,3,3.51,0,False,168.57,86.33,1.95,13.41,0.0,0.0
200,53,no,yes,24,13.1,5,3.54,3,False,205.37,126.0,1.63,18.25,2.38,60.0
201,62,no,no,0,11.2,1,3.02,2,False,251.83,108.33,2.32,23.31,1.85,200.0
202,97,no,no,0,6.4,8,1.73,3,False,214.17,96.67,2.22,21.17,3.1,37.5
203,105,no,no,0,6.8,3,1.84,2,False,178.73,81.0,2.21,16.28,2.47,66.67
204,157,no,no,0,9.4,4,2.54,1,False,202.77,92.67,2.19,18.92,1.08,25.0
205,66,no,yes,36,12.1,2,3.27,1,False,168.97,90.0,1.88,14.85,1.11,50.0
206,122,no,no,0,13.7,8,3.7,2,False,169.17,84.67,2.0,18.89,2.36,25.0
207,38,no,no,0,10.8,5,2.92,3,False,201.47,93.0,2.17,19.66,3.23,60.0
208,106,no,no,0,12.2,5,3.29,3,False,208.63,96.33,2.17,20.32,3.11,60.0
209,99,no,no,0,15.8,7,4.27,3,False,230.0,96.67,2.38,22.69,3.1,42.86
210,99,no,no,0,11.6,10,3.13,1,False,194.97,93.0,2.1,20.9,1.08,10.0
211,144,yes,no,0,11.9,11,3.21,0,False,215.13,99.0,2.17,21.46,0.0,0.0
212,82,no,yes,24,10.7,3,2.89,1,False,174.03,101.67,1.71,17.56,0.98,33.33
213,86,no,yes,31,12.2,6,3.29,1,False,175.83,126.0,1.4,16.4,0.79,16.67
214,70,yes,no,0,17.6,4,4.75,2,True,176.0,102.0,1.73,20.41,1.96,50.0
215,93,no,no,0,11.5,6,3.11,3,False,194.37,107.33,1.81,18.6,2.8,50.0
216,93,no,no,0,10.9,3,2.94,0,False,170.1,95.0,1.79,16.45,0.0,0.0
217,120,no,no,0,4.7,7,1.27,3,False,223.2,84.33,2.65,20.53,3.56,42.86
218,136,no,no,0,13.0,2,3.51,1,True,222.77,117.67,1.89,24.01,0.85,50.0
219,106,no,no,0,7.1,12,1.92,0,False,173.93,108.67,1.6,18.59,0.0,0.0
220,81,no,no,0,12.2,6,3.29,3,False,182.8,104.33,1.75,17.91,2.88,50.0
221,127,no,yes,22,10.2,6,2.75,1,False,195.13,95.0,2.05,18.02,1.05,16.67
222,65,no,no,0,4.4,2,1.19,1,False,209.73,104.0,2.02,18.75,0.96,50.0
223,35,no,no,0,8.9,6,2.4,2,False,188.6,113.0,1.67,17.94,1.77,33.33
224,88,no,no,0,13.8,1,3.73,2,False,156.53,95.33,1.64,12.01,2.1,200.0
225,65,no,no,0,2.7,4,0.73,1,False,232.67,109.33,2.13,22.49,0.91,25.0
226,123,no,no,0,7.7,2,2.08,3,False,224.37,99.67,2.25,21.98,3.01,150.0
227,126,no,yes,27,9.6,3,2.59,2,False,150.77,100.0,1.51,17.07,2.0,66.67
228,104,no,yes,23,13.3,3,3.59,4,False,212.53,110.0,1.93,24.18,3.64,133.33
229,45,no,yes,22,11.9,3,3.21,0,False,224.37,94.67,2.37,22.46,0.0,0.0
230,93,yes,no,0,10.5,2,2.84,0,True,219.67,94.33,2.33,24.61,0.0,0.0
231,63,yes,yes,36,11.0,6,2.97,1,False,229.3,104.33,2.2,22.49,0.96,16.67
232,100,no,no,0,13.5,2,3.65,3,False,200.33,114.67,1.75,20.37,2.62,150.0
233,53,no,no,0,10.9,2,2.94,0,False,181.13,99.0,1.83,18.12,0.0,0.0
234,92,yes,no,0,9.0,5,2.43,1,False,215.53,120.67,1.79,20.12,0.83,20.0
235,139,no,no,0,10.2,2,2.75,5,True,179.77,109.67,1.64,16.51,4.56,250.0
236,110,no,yes,40,9.0,9,2.43,2,False,185.43,109.67,1.69,18.37,1.82,22.22
237,110,no,no,0,9.8,7,2.65,3,False,155.83,105.33,1.48,12.8,2.85,42.86
238,215,no,no,0,10.7,9,2.89,0,False,143.7,116.33,1.24,11.56,0.0,0.0
239,73,no,no,0,9.4,6,2.54,1,False,166.87,96.33,1.73,17.76,1.04,16.67
240,138,no,no,0,12.9,5,3.48,0,False,167.93,97.67,1.72,17.91,0.0,0.0
241,137,yes,no,0,12.3,2,3.32,2,True,164.1,92.67,1.77,14.8,2.16,100.0
242,36,no,no,0,8.4,2,2.27,1,False,237.2,110.33,2.15,23.66,0.91,50.0
243,85,no,no,0,7.1,2,1.92,3,False,198.73,84.67,2.35,20.68,3.54,150.0
244,108,no,no,0,9.4,3,2.54,0,True,273.73,78.0,3.51,24.16,0.0,0.0
245,22,no,no,0,9.5,5,2.57,0,False,159.7,98.67,1.62,14.0,0.0,0.0
246,107,no,yes,37,11.1,3,3.0,0,False,141.33,96.0,1.47,10.22,0.0,0.0
247,51,no,no,0,10.2,5,2.75,0,False,215.97,72.67,2.97,20.66,0.0,0.0
248,94,no,no,0,9.2,2,2.48,4,False,210.03,93.33,2.25,19.73,4.29,200.0
249,119,no,yes,23,11.8,4,3.19,2,False,220.13,121.0,1.82,20.03,1.65,50.0
250,33,no,yes,29,13.9,11,3.75,4,True,184.83,86.0,2.15,16.45,4.65,36.36
251,106,no,no,0,14.4,7,3.89,4,False,190.57,114.33,1.67,19.53,3.5,57.14
252,82,no,no,0,9.1,8,2.46,3,False,204.1,93.67,2.18,20.92,3.2,37.5
253,86,no,yes,41,9.5,3,2.57,0,False,195.3,97.67,2.0,16.81,0.0,0.0
254,97,yes,no,0,10.9,3,2.94,0,False,198.33,93.33,2.13,18.55,0.0,0.0
255,106,no,yes,32,14.1,8,3.81,4,False,185.17,101.67,1.82,18.13,3.93,50.0
256,108,no,no,0,9.8,3,2.65,1,False,180.83,110.33,1.64,16.21,0.91,33.33
257,114,no,no,0,14.5,8,3.92,1,False,176.0,99.67,1.77,14.78,1.0,12.5
258,92,yes,no,0,10.4,2,2.81,1,True,154.97,105.67,1.47,11.99,0.95,50.0
259,59,no,no,0,8.7,4,2.35,1,False,186.63,94.0,1.99,18.0,1.06,25.0
260,24,no,yes,25,6.7,9,1.81,1,False,201.8,90.0,2.24,18.74,1.11,11.11
261,151,no,no,0,15.4,1,4.16,1,False,167.17,87.0,1.92,15.04,1.15,100.0
262,117,no,no,0,11.5,3,3.11,1,False,179.93,102.33,1.76,16.88,0.98,33.33
263,78,no,no,0,12.5,1,3.38,1,False,210.17,106.33,1.98,19.42,0.94,100.0
264,155,no,no,0,8.3,6,2.24,2,False,201.17,84.33,2.39,22.58,2.37,33.33
265,114,no,yes,30,11.4,6,3.08,1,False,252.6,84.33,3.0,23.42,1.19,16.67
266,114,no,yes,28,8.4,9,2.27,4,False,217.07,103.67,2.09,21.75,3.86,44.44
267,119,no,no,0,13.5,6,3.65,3,False,190.9,88.33,2.16,16.63,3.4,50.0
268,64,no,yes,48,4.5,4,1.22,0,False,126.0,98.0,1.29,11.42,0.0,0.0
269,118,yes,no,0,9.9,3,2.67,2,False,173.4,106.0,1.64,16.81,1.89,66.67
270,101,no,no,0,14.6,3,3.94,0,False,227.13,107.33,2.12,21.83,0.0,0.0
271,117,no,no,0,7.7,3,2.08,1,False,171.87,102.67,1.67,15.75,0.97,33.33
272,49,no,yes,28,8.0,13,2.16,3,False,218.6,95.0,2.3,21.91,3.16,23.08
273,139,no,no,0,13.0,3,3.51,3,False,210.13,100.33,2.09,20.61,2.99,100.0
274,92,no,yes,28,10.0,3,2.7,1,False,195.03,94.33,2.07,17.67,1.06,33.33
275,83,no,no,0,9.8,5,2.65,3,False,191.9,102.0,1.88,20.95,2.94,60.0
276,148,yes,no,0,11.1,4,3.0,0,False,210.07,90.67,2.32,21.35,0.0,0.0
277,144,no,yes,48,6.5,2,1.76,2,True,175.8,89.67,1.96,17.47,2.23,100.0
278,131,no,yes,25,10.9,6,2.94,2,False,224.27,83.0,2.7,21.13,2.41,33.33
279,146,yes,no,0,10.5,6,2.84,3,False,215.4,113.0,1.91,21.13,2.65,50.0
280,143,no,no,0,13.0,4,3.51,2,False,178.17,108.0,1.65,17.52,1.85,50.0
281,81,no,no,0,10.4,6,2.81,2,False,200.87,90.67,2.22,20.12,2.21,33.33
282,48,no,yes,37,12.2,1,3.29,1,False,171.9,93.0,1.85,18.69,1.08,100.0
283,86,no,yes,28,9.0,2,2.43,1,False,250.1,93.0,2.69,24.33,1.08,50.0
284,71,no,no,0,6.7,5,1.81,3,False,220.27,91.0,2.42,20.58,3.3,60.0
